speaker,n,mean_gop,std_gop,mean_human,pcc,scc,mae,mse,reported,age,n_utt
2438,387,6.735223924158771,0.6622475906539325,1.950904392764858,0.23842492350386152,0.2538538660456837,0.1086098168195579,0.030853859128389234,True,21,20
2441,453,6.555133977473177,0.5758235541234457,1.9496688741721855,0.29903998862130443,0.28977900085424013,0.12809180948517487,0.03649630878865181,True,19,20
2448,454,6.7081622856829135,0.6433073017171622,1.9519823788546256,0.28928674066779586,0.2979206291100755,0.10921504305018481,0.03219126457692618,True,19,20
2451,452,6.67499207184378,0.5640719495081544,1.9601769911504425,0.28349520568970166,0.3185399998513977,0.1053401576659804,0.027439432806617817,True,23,20
2488,412,6.517313494265658,0.5930759259197946,1.954854368932039,0.21938992979498392,0.25326491276893964,0.13048655057881656,0.03277660873861971,True,21,20
2538,425,6.73478178024292,0.5972273665422894,1.9421176470588237,0.20705037251484554,0.23567261895164068,0.11949713238083214,0.047776043895991396,True,21,20
2740,398,6.646085815813074,0.628605155396138,1.9723618090452262,0.1665030223090975,0.2402858565284783,0.1119389906726218,0.026895658540977436,True,20,20
2892,383,6.77362700853273,0.6352162804101205,1.9404699738903395,0.2229940831706749,0.2588808516290245,0.11244468175219302,0.04006035627273229,True,24,20
2897,433,6.731088367400488,0.6529075983026055,1.961200923787529,0.24297249378317387,0.2176731673852014,0.1085512501464989,0.026939636383379855,True,20,20
2917,457,6.699791467946259,0.5704183349143572,1.9588621444201313,0.18555572447682886,0.21122354556721176,0.10718662806541512,0.025731388640900597,True,19,20
2937,411,6.472753980734052,0.6186005094431781,1.9250608272506085,0.22612791337956356,0.28852663963100955,0.14724900108365427,0.046423904413656895,True,19,20
3007,326,6.483769429973298,0.6148084395661778,1.9245398773006137,0.3320412835407417,0.29989860425585924,0.1441573962762239,0.049281665382901414,True,10,20
3012,273,6.331287939469893,0.5127269312316567,1.923809523809524,0.25192091255070403,0.24320329511465472,0.16414431841823082,0.04627742436099739,True,9,20
3014,286,6.5216309874207825,0.5181327132325062,1.9622377622377625,0.1945527840389955,0.1268500390296932,0.12899720766345318,0.02679667987083392,True,9,20
3027,346,6.39698733621939,0.5451864765021156,1.963005780346821,0.16081850133522108,0.1867220851829841,0.15154587084028193,0.03688088896342253,True,8,20
3060,299,6.230960568456745,0.6257952680342448,1.9003344481605353,0.23887232269633737,0.2327883178687648,0.19362486292723538,0.06165818791650476,True,9,20
3075,286,6.162556448182859,0.6079826545672354,1.9202797202797204,0.1994930681056871,0.20833744806461593,0.1979388157974392,0.059954780805163546,True,9,20
3214,282,6.418728356665754,0.5898332801892036,1.9524822695035462,0.1893918864181288,0.24331803012091294,0.14655296883079724,0.037592225441306935,True,9,20
3412,267,6.43672318940752,0.6050935264956094,1.950561797752809,0.14580705157571267,0.024676236013158333,0.16226517177180236,0.05098068706939118,True,9,20
3631,334,6.4088214800029455,0.5712709342554271,1.9383233532934134,0.29202558107877796,0.2920191427248596,0.15323546001364236,0.04443366121559147,True,9,20
5015,360,6.451777939001719,0.6017213727922731,1.957777777777778,0.17301304434717218,0.18696451490258634,0.14638786361156114,0.03663171834676289,True,10,20
5017,372,6.426739279941846,0.5957638523494779,1.9274193548387097,0.24099217402201592,0.18085769259360715,0.17637266303687418,0.08559091651866865,True,10,20
5029,378,6.4660824013765525,0.5950044337274313,1.9539682539682544,0.18815110745977606,0.18181452968756387,0.14998251926751396,0.044013325917402216,True,11,20
5039,340,6.442376474773183,0.5352851373328905,1.9558823529411764,0.19654052300791802,0.22931055835657377,0.145288327770241,0.03711755637308924,True,12,20
5072,392,6.448518997552443,0.5823756355163463,1.9637755102040815,0.20407605354523584,0.2184959593707664,0.14319612904252868,0.03287093550106818,True,10,20
5220,350,6.47634640284947,0.6223945976011566,1.9468571428571428,0.25225721119143313,0.25280065229933996,0.14406483886756344,0.040280526101524286,True,11,20
5406,384,6.465020307650168,0.5467738511296328,1.9458333333333335,0.1388587288039006,0.16588032241735734,0.15226147569755968,0.04877604004129807,True,11,20
5428,336,6.393988498619625,0.6027406363110819,1.9345238095238095,0.2004576071282561,0.1903796431012787,0.1646438874522801,0.052496351949414766,True,11,20
5432,415,6.330925455438085,0.6620607409180006,1.8390361445783134,0.3761557247853231,0.28389571387170476,0.24618779053724052,0.17573366615263322,True,11,20
5547,358,6.123774786901207,0.5990299869127855,1.9178770949720672,0.2295428131755499,0.1839059035244845,0.21966715289715683,0.07779965659321013,True,11,20
6067,432,6.583559668726391,0.5789066826793801,1.9449074074074075,0.252232691371038,0.2684919866726603,0.13611701186329553,0.04437615487038701,True,12,20
